question,answer,focus,type
What is diabetes?,"Diabetes is a disease that occurs when your blood glucose is too high. Blood glucose is your main source of energy and comes from the food you eat. Insulin helps glucose get into your cells to be used for energy. With diabetes, your body either does not make enough insulin or does not use insulin well.",diabetes,information
What are the symptoms of diabetes?,"Common symptoms include increased thirst, frequent urination, extreme hunger, unexplained weight loss, fatigue, irritability, blurred vision, slow-healing sores, and frequent infections such as gum or skin infections.",diabetes,symptoms
How is diabetes treated?,"Diabetes treatment includes healthy eating, physical activity, blood sugar monitoring, and diabetes medication or insulin therapy. Treatment depends on the type. Type 1 requires insulin. Type 2 may be managed with lifestyle changes and oral medications.",diabetes,treatment
What is Type 1 diabetes?,Type 1 diabetes is a condition in which your immune system destroys insulin-making cells in your pancreas. It was once called juvenile diabetes or insulin-dependent diabetes. People with Type 1 need daily insulin injections to survive.,diabetes,information
What is Type 2 diabetes?,"Type 2 diabetes occurs when your body does not use insulin properly (insulin resistance). It is the most common form. Risk factors include obesity, physical inactivity, family history, and age over 45.",diabetes,information
What causes diabetes?,"Type 1 diabetes is caused by an autoimmune reaction. Type 2 is caused by lifestyle factors and genetics. Gestational diabetes occurs during pregnancy. Risk factors include family history, obesity, and physical inactivity.",diabetes,causes
What is hypertension?,Hypertension (high blood pressure) is when the long-term force of blood against artery walls is high enough to cause health problems such as heart disease. Blood pressure is measured in mmHg. Normal is below 120/80 mmHg.,hypertension,information
What are symptoms of high blood pressure?,"Most people with high blood pressure have no symptoms even at dangerously high levels. Some may experience headaches, shortness of breath, or nosebleeds but these are not specific to hypertension. It is often called the silent killer.",hypertension,symptoms
How is hypertension treated?,"Treatment includes lifestyle changes: reducing sodium, exercising regularly, maintaining a healthy weight, limiting alcohol, not smoking. Medications include ACE inhibitors, ARBs, beta-blockers, calcium channel blockers, and diuretics.",hypertension,treatment
What causes high blood pressure?,"Primary hypertension develops gradually with no identified cause. Secondary hypertension is caused by kidney disease, thyroid problems, sleep apnea, or certain medications. Risk factors include age, family history, obesity, and stress.",hypertension,causes
What is asthma?,"Asthma is a condition in which airways narrow, swell, and produce extra mucus. This can make breathing difficult and trigger coughing, wheezing, and shortness of breath. It can be a minor nuisance or a major problem.",asthma,information
What are asthma symptoms?,"Symptoms include shortness of breath, chest tightness or pain, wheezing when exhaling, and coughing or wheezing attacks worsened by a respiratory virus. Symptoms vary from person to person.",asthma,symptoms
What triggers asthma?,"Common triggers include airborne allergens (pollen, dust mites, mold, pet dander), respiratory infections, physical activity, cold air, air pollutants, certain medications like aspirin, strong emotions, and GERD.",asthma,causes
How is asthma treated?,"Treatment involves quick-relief inhalers (short-acting beta agonists like albuterol), long-term control medications (inhaled corticosteroids, LABAs), biologics for severe asthma, and avoiding triggers.",asthma,treatment
What is cancer?,Cancer is a disease where cells grow uncontrollably and spread to other parts of the body. It can start almost anywhere. Normally cells grow and divide as needed; cancer disrupts this process causing abnormal cell growth.,cancer,information
What are common cancer symptoms?,"Symptoms include fatigue, lump or thickening, weight changes, skin changes, bowel or bladder changes, persistent cough, difficulty swallowing, persistent indigestion, unexplained muscle pain, and unexplained bleeding.",cancer,symptoms
How is cancer treated?,"Treatments include surgery, chemotherapy, radiation therapy, immunotherapy, targeted therapy, hormone therapy, and stem cell transplant. Treatment depends on cancer type, stage, and patient health.",cancer,treatment
What causes cancer?,"Cancer is caused by genetic mutations from factors like tobacco use, radiation, viruses, cancer-causing chemicals, obesity, hormones, chronic inflammation, and inherited genetic defects.",cancer,causes
What is depression?,"Depression is a mood disorder causing persistent sadness and loss of interest. It affects how you feel, think, and behave and can lead to emotional and physical problems. It is not a weakness and requires treatment.",depression,information
What are symptoms of depression?,"Symptoms include persistent sad or empty mood, loss of interest in activities, changes in appetite and weight, sleep disturbances, fatigue, feelings of worthlessness or guilt, difficulty concentrating, and thoughts of death or suicide.",depression,symptoms
How is depression treated?,"Treatment includes psychotherapy (cognitive behavioral therapy, interpersonal therapy), antidepressant medications (SSRIs, SNRIs, TCAs), brain stimulation therapies, and lifestyle changes like exercise and social support.",depression,treatment
What causes depression?,"Causes include brain chemistry imbalances, genetics, life events (trauma, loss, stress), medical conditions, and certain medications. It is a complex condition with multiple contributing factors.",depression,causes
What is arthritis?,"Arthritis is inflammation of one or more joints causing pain, stiffness, and swelling. There are over 100 types. The most common are osteoarthritis (wear and tear) and rheumatoid arthritis (autoimmune).",arthritis,information
What are arthritis symptoms?,"Symptoms include joint pain, stiffness (especially in the morning), swelling, redness, warmth around joints, and decreased range of motion. Symptoms may come and go or worsen over time.",arthritis,symptoms
How is arthritis treated?,"Treatment includes NSAIDs (ibuprofen, naproxen), DMARDs for rheumatoid arthritis, biologics, corticosteroids, physical therapy, occupational therapy, joint replacement surgery, and lifestyle changes.",arthritis,treatment
What is Alzheimer's disease?,"Alzheimer's is a progressive neurologic disorder causing the brain to shrink and brain cells to die. It is the most common cause of dementia — a continuous decline in thinking, behavioral, and social skills.",alzheimer,information
What are early signs of Alzheimer's?,"Early signs include memory loss disrupting daily life, challenges in planning or problem-solving, difficulty completing familiar tasks, confusion with time or place, trouble understanding visual images, new problems with words, misplacing things, poor judgment, and mood changes.",alzheimer,symptoms
How is Alzheimer's disease treated?,"Treatments include cholinesterase inhibitors (donepezil, rivastigmine), memantine for moderate to severe cases, newer drugs like lecanemab that target amyloid plaques, and supportive care for behavioral symptoms.",alzheimer,treatment
What is a stroke?,"A stroke occurs when blood supply to part of the brain is interrupted or reduced, preventing brain tissue from getting oxygen. Brain cells begin dying within minutes. It is a medical emergency requiring immediate treatment.",stroke,information
What are stroke symptoms?,"Use FAST: Face drooping, Arm weakness, Speech difficulty, Time to call emergency. Other symptoms include sudden numbness, confusion, vision problems, severe headache, and loss of balance.",stroke,symptoms
How is a stroke treated?,"Ischemic strokes are treated with tPA (clot-busting drug) within 4.5 hours or mechanical thrombectomy. Hemorrhagic strokes may need surgery. Rehabilitation includes physical, speech, and occupational therapy.",stroke,treatment
What is pneumonia?,"Pneumonia is an infection inflaming air sacs in one or both lungs. The air sacs may fill with fluid or pus causing cough with phlegm, fever, chills, and difficulty breathing. Severity ranges from mild to life-threatening.",pneumonia,information
What are symptoms of pneumonia?,"Symptoms include chest pain when breathing or coughing, confusion (especially in older adults), cough with phlegm, fatigue, fever, sweating, chills, nausea, vomiting, diarrhea, and shortness of breath.",pneumonia,symptoms
How is pneumonia treated?,Bacterial pneumonia is treated with antibiotics. Viral pneumonia may be treated with antiviral medications. Rest and fluids help. Severe cases may require hospitalization and oxygen therapy.,pneumonia,treatment
What is obesity?,"Obesity is a complex disease involving excessive body fat that increases risk of other diseases and health problems including heart disease, diabetes, high blood pressure, and certain cancers.",obesity,information
What causes obesity?,"Obesity results from consuming more calories than burned. Contributing factors include genetics, inactivity, unhealthy diet, certain medical conditions (hypothyroidism, PCOS), medications, age, pregnancy, and lack of sleep.",obesity,causes
How is obesity treated?,"Treatment includes dietary changes, increased physical activity, behavior change therapy, prescription weight-loss medications, and weight-loss surgery (bariatric surgery) for severe cases.",obesity,treatment
What is anemia?,"Anemia is a condition where you lack enough healthy red blood cells to carry adequate oxygen to your body's tissues. It can make you feel tired and weak. Types include iron deficiency, vitamin deficiency, and aplastic anemia.",anemia,information
What are symptoms of anemia?,"Symptoms include fatigue, weakness, pale or yellowish skin, irregular heartbeat, shortness of breath, dizziness, chest pain, cold hands and feet, and headaches. Mild anemia may have no symptoms.",anemia,symptoms
How is anemia treated?,Treatment depends on cause. Iron deficiency: iron supplements and dietary changes. Vitamin deficiency: B12 or folate supplements. Aplastic anemia: blood transfusions or stem cell transplant. Hemolytic anemia: immunosuppressants.,anemia,treatment
What is kidney disease?,"Chronic kidney disease (CKD) is gradual loss of kidney function. Kidneys filter waste and excess fluids from blood for excretion in urine. When this fails, dangerous levels of fluid and waste accumulate.",kidney disease,information
What are symptoms of kidney disease?,"Symptoms include nausea, vomiting, loss of appetite, fatigue, sleep problems, urinating more or less, decreased mental sharpness, muscle cramps, swollen feet/ankles, dry/itchy skin, and high blood pressure.",kidney disease,symptoms
How is kidney disease treated?,"Treatment slows progression by controlling the cause. Options include blood pressure medications (ACE inhibitors), cholesterol medications, anemia treatment, dietary changes (low protein, low sodium), dialysis, and kidney transplant.",kidney disease,treatment
What is COVID-19?,"COVID-19 is an infectious disease caused by the SARS-CoV-2 virus. It spreads mainly through respiratory droplets. Most people experience mild to moderate illness and recover without special treatment, but some develop serious illness.",COVID-19,information
What are COVID-19 symptoms?,"Symptoms include fever or chills, cough, shortness of breath, fatigue, muscle aches, headache, loss of taste or smell, sore throat, congestion, nausea, vomiting, and diarrhea. Symptoms appear 2-14 days after exposure.",COVID-19,symptoms
How is COVID-19 treated?,"Mild cases: rest, fluids, fever reducers. Antivirals like Paxlovid (nirmatrelvir-ritonavir) for high-risk patients. Severe cases: oxygen therapy, corticosteroids (dexamethasone), monoclonal antibodies, and ICU care.",COVID-19,treatment
What is heart disease?,"Heart disease describes several conditions affecting the heart including coronary artery disease, arrhythmias, heart defects, and cardiomyopathy. Coronary artery disease is the most common type in adults.",heart disease,information
What are heart disease symptoms?,"Symptoms vary by type but include chest pain (angina), shortness of breath, pain or numbness in legs or arms, pain in neck/jaw/throat/upper abdomen, and fluttering in chest. Heart attacks cause crushing chest pain.",heart disease,symptoms
How is heart disease treated?,"Treatment includes lifestyle changes, medications (statins, beta-blockers, ACE inhibitors, aspirin), medical procedures (angioplasty, stenting, bypass surgery), and cardiac rehabilitation.",heart disease,treatment
What is COPD?,"Chronic obstructive pulmonary disease (COPD) is a chronic inflammatory lung disease causing obstructed airflow. It includes emphysema and chronic bronchitis. The main cause is long-term exposure to irritating gases, most often from smoking.",COPD,information
What are COPD symptoms?,"Symptoms include shortness of breath (especially during activities), wheezing, chest tightness, chronic cough (possibly with colored mucus), frequent respiratory infections, lack of energy, and unintended weight loss.",COPD,symptoms
How is COPD treated?,"Treatment includes smoking cessation, bronchodilators (short and long-acting), inhaled steroids, combination inhalers, phosphodiesterase-4 inhibitors, theophylline, antibiotics, oxygen therapy, and pulmonary rehabilitation.",COPD,treatment
